skill
Python
Java
C
C++
JavaScript
TypeScript
HTML
CSS
React
Node.js
FastAPI
Flask
SQL
MySQL
PostgreSQL
MongoDB
Git
GitHub
Docker
Kubernetes
AWS
Azure
Machine Learning
Deep Learning
TensorFlow
PyTorch
Scikit-learn
Pandas
NumPy
OpenCV
NLP
LLMs
LangChain
Prompt Engineering
Data Analysis
Power BI
Excel
MATLAB
Linux
